url,median_ms,status,runs_seconds
http://127.0.0.1:3005/,1.72,PASS,0.002287,0.002128,0.001717,0.001690,0.001524
http://127.0.0.1:3005/products,10.29,PASS,0.042999,0.011425,0.010295,0.009638,0.008055
http://127.0.0.1:3005/products?category=sets,6.71,PASS,0.011313,0.009016,0.006496,0.006711,0.005444
http://127.0.0.1:3005/products/be5e7c7b-ddc7-48f3-8ad8-73f9f8f90446,44.31,PASS,0.043731,0.044310,0.043001,0.046692,0.045912
http://127.0.0.1:3005/collections,1.37,PASS,0.003444,0.001373,0.001388,0.001039,0.000938
http://127.0.0.1:3005/collections/naga-green,4.13,PASS,0.005414,0.004450,0.004126,0.003768,0.004052
http://127.0.0.1:3005/cart,24.12,PASS,0.028229,0.023473,0.024115,0.023319,0.024131
http://127.0.0.1:3005/contact,1.08,PASS,0.003058,0.001084,0.001143,0.000968,0.001032
http://127.0.0.1:3005/sign-in,0.84,PASS,0.002576,0.001008,0.000842,0.000726,0.000828
http://127.0.0.1:3005/sign-up,0.84,PASS,0.002615,0.001027,0.000773,0.000839,0.000775
